刪除線,類型,工作室,名稱,是否有NPC,人數,時間,金額,網址,地點,評論
,密室逃脫,謎題工作室,恐怖密室,是,4-6,90分鐘,800,123456,台北市信義區,很刺激的體驗，NPC演技很好
,密室逃脫,解謎館,太空冒險,否,2-4,60分鐘,600,789012,新北市板橋區,適合新手，謎題設計有趣
,,謎題工作室,古墓探險,是,3-5,75分鐘,700,234567,台北市中山區,氣氛營造很棒
,,解謎館,未來世界,否,2-6,90分鐘,650,345678,新北市新店區,科技感十足
,LARP劇本殺,劇本工作室,阿姐鼓,是,7,240分鐘,690,456789,台北市大安區,劇情豐富，角色扮演很投入
,LARP劇本殺,推理館,古風劇本,否,6,180分鐘,550,567890,新北市板橋區,服裝精美，場景逼真
,,劇本工作室,現代懸疑,是,5,200分鐘,650,678901,台北市信義區,邏輯嚴謹，推理有趣
,美食,,火鍋店,,2-8,120分鐘,500,789012,台北市大安區,食材新鮮，湯頭濃郁
,美食,,夜市美食,,1-2,30分鐘,100,890123,台北市士林區,CP值很高，排隊人很多
,,,燒肉店,,2-4,90分鐘,800,901234,台北市信義區,肉質很好，服務親切
,電影,影城,動作片,,1-4,120分鐘,300,012345,台北市西門町,特效很棒，劇情緊湊
